TSP,SO2,PB,CD
9.0,0.02,21.0,0.54
5.0,0.03,20.0,0.53
14.0,1.6,17.0,0.3
35.0,0.14,15.0,0.1
35.0,0.13,14.0,0.2
57.0,0.17,24.0,0.34
53.0,0.15,21.0,0.29
43.0,0.13,20.0,0.5
35.0,0.63,14.0,0.42
53.0,0.51,15.0,0.32
43.0,0.56,15.0,0.52
46.0,0.2,17.0,0.53
54.0,0.03,16.0,0.32
42.0,0.16,18.0,0.28
43.0,4.9,11.0,0.1
9.0,0.1,3.4,0.1
26.0,0.14,59.0,0.67
32.0,0.16,60.0,1.2
45.0,0.18,52.0,1.1
11.0,0.06,10.0,0.36
27.0,0.43,14.0,0.29
21.0,0.11,11.0,0.1
46.0,0.35,19.0,0.42
104.0,0.22,58.0,1.1
118.0,0.23,62.0,1.5
57.0,0.45,19.0,0.97
82.0,23.0,33.0,0.72
55.0,0.17,31.0,0.57
46.0,0.02,1.0,0.1
69.0,0.02,30.0,0.44
25.0,0.02,16.0,0.1
8.0,1.3,6.9,0.2
2.0,1.4,7.8,0.1
6.0,0.53,23.0,0.27
42.0,12.0,29.0,0.31
16.0,7.4,15.0,0.24
16.0,3.8,10.0,0.22
20.0,5.5,9.6,0.1
20.0,5.3,17.0,0.21
20.0,13.0,24.0,0.45
31.0,5.4,11.0,0.1
43.0,17.0,21.0,0.27
34.0,28.0,29.0,0.33
28.0,29.0,79.0,1.3
25.0,18.0,17.0,0.36
31.0,3.7,12.0,0.1
8.0,1.1,8.6,0.28
7.0,2.1,5.0,0.29
25.0,3.0,4.8,0.1
66.0,10.0,13.0,0.1
28.0,7.5,31.0,0.48
30.0,4.6,16.0,0.32
8.0,4.6,5.3,0.1
26.0,5.9,9.6,0.29
14.0,9.8,11.0,0.25
9.0,2.3,9.2,0.2
7.0,4.4,9.8,0.26
3.0,7.8,13.0,0.44
37.0,7.2,13.0,0.3
21.0,3.0,1.0,0.1
85.0,7.1,7.3,0.25
34.0,6.5,14.0,0.22
94.0,13.0,54.0,0.82
37.0,7.8,31.0,0.51
11.0,3.9,6.6,0.1
27.0,4.8,16.0,0.4
22.0,8.1,9.8,0.9
2.5,5.2,12.0,0.35
16.0,10.0,6.5,0.34
62.0,17.0,30.0,0.53
38.0,7.7,16.0,0.42
21.0,5.0,4.0,0.1
23.0,7.9,3.67,0.1
49.0,3.51,7.9,0.1
57.0,3.3,14.0,0.22
45.0,1.22,15.0,0.38
32.0,1.72,15.0,0.22
48.0,2.59,8.6,0.29
37.0,2.29,3.9,0.1
48.0,3.23,9.5,0.35
36.0,3.53,6.6,0.1
60.0,4.4,28.0,0.76
65.0,2.79,21.0,0.57
53.0,2.03,8.9,0.1
62.0,0.74,7.9,0.24
78.0,4.57,13.0,0.1
83.0,5.69,23.0,0.47
95.0,11.1,45.0,1.0
102.0,14.5,56.0,1.2
74.0,10.5,37.0,0.72
65.0,6.71,40.0,1.0
32.0,7.2,20.0,0.36
64.0,9.65,29.0,0.54
65.0,13.8,44.0,0.5
49.0,7.67,36.0,0.58
31.0,13.9,11.0,1.0
62.0,11.7,14.0,0.79
27.0,15.3,25.0,0.77
58.0,15.0,43.0,1.4
72.0,16.7,47.0,1.1
60.0,20.1,36.0,0.55
36.0,15.6,9.5,0.24
49.0,16.1,7.3,0.22
84.0,31.8,33.0,0.62
59.0,27.8,28.0,0.56
40.0,18.3,34.0,0.7
56.0,15.0,27.0,0.45
68.0,13.0,36.0,0.66
49.0,5.5,16.0,0.38
44.0,2.91,19.0,0.22
60.0,7.32,24.0,0.39
93.0,7.05,46.0,0.59
57.0,5.05,21.0,0.34
77.0,8.55,7.0,0.1
43.0,4.88,11.0,0.2
37.0,18.2,14.0,0.38
64.0,13.1,44.0,3.3
87.0,9.82,33.0,0.57
78.0,10.1,35.0,0.73
67.0,11.9,31.0,0.68
72.0,15.4,45.0,0.93
72.0,9.68,34.0,0.86
66.0,11.8,49.0,0.52
59.0,6.45,19.0,0.41
76.0,8.67,27.0,0.77
138.0,4.19,21.0,0.6
99.0,2.84,20.0,0.8
93.0,4.78,19.0,0.45
100.0,17.7,28.0,0.54
73.0,12.4,25.0,0.47
62.0,7.48,23.0,0.61
57.0,7.5,36.0,0.54
40.0,2.36,22.0,0.43
66.0,6.66,30.0,0.53
80.0,5.21,23.0,0.1
50.0,7.25,23.0,0.66
52.0,5.39,22.0,0.46
54.0,4.39,17.0,0.4
79.0,8.08,22.0,0.59
65.0,9.28,28.0,0.55
44.0,5.66,13.0,0.21
32.0,4.42,8.7,0.1
30.0,4.16,11.0,0.26
29.0,5.25,15.0,0.1
58.0,3.42,16.0,0.22
48.0,2.34,23.0,0.38
45.0,2.12,8.8,0.4
22.0,4.03,9.8,0.1
29.0,3.05,13.0,0.61
47.0,4.04,13.0,0.5
46.0,6.01,22.0,0.47
57.0,5.88,27.0,0.7
79.0,5.57,25.0,0.51
47.0,2.64,17.0,0.51
38.0,2.6,18.0,0.8
50.0,2.56,29.0,1.1
30.0,3.39,28.0,1.1
39.0,1.94,25.0,0.88
66.0,4.44,20.0,0.47
68.0,7.89,18.0,0.55
38.0,1.45,17.0,0.44
56.0,1.49,20.0,0.54
47.0,1.57,20.0,0.48
41.0,1.06,17.0,0.35
35.0,1.11,10.0,0.1
13.0,1.14,7.5,0.21
52.0,1.94,17.0,0.49
37.0,1.45,9.8,0.1
6.0,0.46,1.0,0.1
24.0,1.51,2.7,0.1
20.0,0.57,3.8,0.1
36.0,2.55,8.3,0.27
53.0,2.54,16.0,0.31
40.0,2.82,1.0,0.1
40.0,2.32,1.0,0.1
64.0,2.3,4.6,0.1
75.0,2.44,4.1,0.1
64.0,2.44,2.6,0.45
76.0,2.64,3.6,0.24
141.0,6.2,11.0,0.1
89.0,3.53,16.0,0.26
36.0,1.31,5.2,0.1
31.0,0.15,2.5,0.1
36.0,0.38,6.3,0.1
26.0,0.16,3.5,0.1
22.0,0.33,1.0,0.1
37.0,0.94,2.6,0.2
41.0,0.58,1.0,0.1
34.0,0.49,7.6,0.4
94.0,0.73,13.0,0.29
107.0,1.53,19.0,0.53
147.0,2.44,18.0,0.38
104.0,2.74,14.0,0.33
57.0,0.6,5.8,0.1
53.0,0.4,2.8,0.1
50.0,1.07,11.0,0.65
68.0,0.75,8.4,0.21
83.0,1.09,10.0,0.23
39.0,0.49,12.0,0.26
45.0,0.77,5.2,0.25
62.0,1.27,6.0,0.1
61.0,0.75,7.6,0.1
54.0,1.05,11.0,0.81
61.0,2.07,17.0,1.5
80.0,1.51,13.0,0.69
98.0,0.74,12.0,0.1
125.0,1.46,9.4,0.33
99.0,0.57,8.2,0.21
103.0,0.49,6.9,0.26
75.0,0.82,7.4,0.23
58.0,1.02,5.1,0.1
85.0,0.41,8.0,0.25
46.0,1.33,25.0,0.45
121.0,1.23,11.0,0.37
98.0,0.83,14.0,0.33
85.0,2.38,9.4,0.32
74.0,2.95,7.6,0.24
88.0,3.38,8.2,0.1
83.0,1.01,5.5,0.65
72.0,1.33,11.0,0.24
114.0,5.37,8.2,2.9
107.0,0.26,19.0,0.21
87.0,0.66,11.0,0.2
64.0,0.4,6.2,0.26
70.0,0.79,3.2,0.1
73.0,3.1,13.0,0.31
58.0,0.1,1.0,0.1
61.0,0.25,4.4,0.27
99.0,1.41,5.1,0.46
63.0,0.7,3.8,0.22
72.0,0.6,11.0,0.4
77.0,0.39,9.5,0.42
77.0,0.36,8.0,0.39
69.0,0.3,9.9,0.76
66.0,0.83,11.0,0.24
64.0,0.27,11.0,0.28
61.0,0.27,9.3,0.31
69.0,0.23,8.0,0.28
66.0,0.32,11.0,0.43
45.0,0.8,12.0,0.45
54.0,0.68,11.0,0.33
43.0,0.89,9.5,0.33
50.0,0.57,13.0,0.1
49.0,0.66,8.7,0.28
46.0,0.53,5.1,0.8
23.0,0.5,2.5,0.1
34.0,0.6,6.5,0.43
34.0,0.37,13.0,0.46
75.0,0.28,19.0,0.35
64.0,0.07,8.8,0.3
70.0,0.44,8.2,0.23
67.0,0.38,11.0,0.1
73.0,0.6,6.5,0.21
78.0,0.58,11.0,0.36
69.0,0.65,7.3,0.61
72.0,0.81,11.0,0.1
94.0,0.79,13.0,0.1
98.0,0.19,12.0,0.51
57.0,0.51,14.0,0.36
39.0,0.17,6.5,0.1
44.0,0.22,4.9,0.22
53.0,0.12,7.3,0.61
32.0,0.27,7.9,0.27
45.0,0.36,16.0,0.23
26.0,0.17,5.9,0.25
30.0,0.13,5.6,0.1
23.0,0.16,6.8,0.1
29.0,0.27,15.0,0.21
74.0,0.54,16.0,0.2
28.0,0.22,10.0,0.21
26.0,0.2,6.7,0.1
39.0,0.15,8.7,0.1
39.0,0.67,5.1,0.1
36.0,0.72,5.8,0.1
33.0,0.32,6.2,0.1
14.0,0.11,2.8,0.1
28.0,0.18,4.8,0.72
46.0,0.13,8.1,0.1
44.0,0.22,5.9,0.31
40.0,0.22,1.0,0.1
43.0,0.16,7.3,0.6
60.0,0.24,18.0,0.37
66.0,0.21,10.0,0.4
49.0,0.22,7.3,0.1
95.0,0.37,24.0,0.43
89.0,0.96,11.0,0.22
78.0,0.35,8.7,0.4
58.0,0.86,5.9,0.1
32.0,0.56,9.5,0.1
35.0,0.1,4.1,0.1
40.0,0.15,2.3,0.1
59.0,0.2,9.2,0.1
43.0,0.84,18.0,0.24
34.0,1.11,12.0,0.25
45.0,1.52,30.0,0.82
45.0,1.37,16.0,0.59
54.0,0.31,6.3,0.22
43.0,0.23,5.8,0.22
41.0,3.89,5.7,0.1
37.0,0.19,6.5,0.27
25.0,0.39,10.0,0.31
29.0,0.34,17.0,0.25
16.0,0.3,4.8,0.1
36.0,0.45,21.0,0.36
56.0,0.92,21.0,0.37
38.0,0.25,9.1,0.27
13.0,0.3,2.4,0.1
14.0,0.16,1.0,0.1
21.0,0.24,4.5,0.1
8.0,0.15,2.6,0.1
6.0,0.35,4.1,0.24
29.0,9.57,8.7,0.24
35.0,10.6,12.0,0.25
53.0,9.63,15.0,0.5
5.0,0.15,8.5,0.28
25.0,1.45,15.0,0.39
44.0,1.51,20.0,0.1
79.0,0.86,35.0,0.54
16.0,0.17,11.0,1.3
21.0,0.07,6.8,0.29
39.0,0.06,7.8,0.63
53.0,0.24,17.0,0.28
